table,field,dtype,definition,availability_and_caution
MP_Features,source_worksheet_row,int64,"Original physical worksheet row, with title/header rows counted. Used to trace evidence directly to the supplied source.","Provenance; identifier, exclude from model"
MP_Features,mp_source_row_number,str,Sequential MP allocation row number supplied by the source export.,Source snapshot; evidence
MP_Features,mp_state,str,"MP state from the allocation master, joined by normalized MP name.",Source snapshot; evidence
MP_Features,mp_name,str,MP name as written in the relevant source worksheet. It is retained alongside the normalized join key.,Source snapshot; evidence
MP_Features,mp_constituency,str,"MP constituency from the allocation master, joined by normalized MP name.",Source snapshot; evidence
MP_Features,mp_allocated_limit,float64,Recorded allocation amount in source export. One source value is missing and remains null. Period and carry-forward composition are unspecified.,Source snapshot; not annual entitlement
MP_Features,mp_name_key,str,"Deterministic normalized join key; names use Unicode NFKC/case folding, honorific-prefix removal and punctuation/space removal. IDA key includes state. Ambiguous MP keys stop the build.",Join identifier; exclude as continuous predictor
MP_Features,allocation_amount_missing_flag,bool,True when the source allocation amount is blank or cannot be parsed as numeric. No zero imputation is made.,Source-derived snapshot; recompute features in historical folds
MP_Features,mp_visible_work_count,int64,mp visible work count; observed supplied extract only.,Snapshot descriptive
MP_Features,mp_visible_sanction_total,float64,mp visible sanction total; observed supplied extract only.,Snapshot descriptive
MP_Features,mp_median_sanction_amount,float64,mp median sanction amount. See pipeline implementation for deterministic transformation and source mapping.,Source or snapshot descriptive
MP_Features,mp_median_sanction_delay_days,float64,mp median sanction delay days. See pipeline implementation for deterministic transformation and source mapping.,Source or snapshot descriptive
MP_Features,mp_delay_over45_share,float64,Proportion among this entity's visible work rows meeting delay over45. Entity with no observed works has null share.,Snapshot entity aggregate; recompute inside train folds
MP_Features,mp_early_stage_over180_share,float64,Proportion among this entity's visible work rows meeting early stage over180. Entity with no observed works has null share.,Snapshot entity aggregate; recompute inside train folds
MP_Features,mp_completed_share,float64,Proportion among this entity's visible work rows meeting completed. Entity with no observed works has null share.,Snapshot entity aggregate; recompute inside train folds
MP_Features,mp_high_cost_outlier_share,object,Proportion among this entity's visible work rows meeting high cost outlier. Entity with no observed works has null share.,Snapshot entity aggregate; recompute inside train folds
MP_Features,mp_duplicate_review_share,float64,Proportion among this entity's visible work rows meeting duplicate review. Entity with no observed works has null share.,Snapshot entity aggregate; recompute inside train folds
MP_Features,mp_average_review_priority_score,float64,mp average review priority score,"Strictly before sanction date, observed extract only"
MP_Features,mp_max_review_priority_score,float64,mp max review priority score,"Strictly before sanction date, observed extract only"
MP_Features,mp_latest_sanction_date,datetime64[us],mp latest sanction date. See pipeline implementation for deterministic transformation and source mapping.,Source or snapshot descriptive
MP_Features,mp_distinct_work_type_count,float64,mp distinct work type count; observed supplied extract only.,Snapshot descriptive
MP_Features,mp_work_type_hhi,float64,"Sum of squared visible work-count shares across work types, in [0,1]; high concentration alone is not misconduct.",Snapshot entity aggregate
MP_Features,mp_review_priority_score,float64,mp review priority score,"Strictly before sanction date, observed extract only"
MP_Features,mp_review_priority_band,str,mp review priority band,"Strictly before sanction date, observed extract only"
MP_Features,works_extract_presence_flag,bool,Allocation-master MP has at least one joined row in the supplied works extract.,Source-derived snapshot; recompute features in historical folds
MP_Features,observed_sanction_to_allocated_ratio,float64,"Visible sanctions / recorded allocation limit, whose period is unspecified. Expenditure, release and utilization are not measured.",Snapshot descriptive; incomplete numerator
MP_Features,mp_calamity_consent_count,int64,mp calamity consent count; observed supplied extract only.,Snapshot descriptive
MP_Features,mp_calamity_consent_total,float64,"Total nonmissing consent amount recorded for joined MP. Zero means no row observed in this consent extract, not proof of no consent.",Snapshot descriptive; not payment or expenditure
MP_Features,mp_latest_calamity_consent_date,datetime64[us],Latest consent date observed for the normalized MP in the consent extract; null if no consent row is observed.,Source-derived snapshot; recompute features in historical folds
IDA_Features,ida_key,str,"Deterministic normalized join key; names use Unicode NFKC/case folding, honorific-prefix removal and punctuation/space removal. IDA key includes state. Ambiguous MP keys stop the build.",Join identifier; exclude as continuous predictor
IDA_Features,ida_visible_work_count,Int64,ida visible work count; observed supplied extract only.,Snapshot descriptive
IDA_Features,ida_visible_sanction_total,float64,ida visible sanction total; observed supplied extract only.,Snapshot descriptive
IDA_Features,ida_median_sanction_amount,float64,ida median sanction amount. See pipeline implementation for deterministic transformation and source mapping.,Source or snapshot descriptive
IDA_Features,ida_median_sanction_delay_days,float64,ida median sanction delay days. See pipeline implementation for deterministic transformation and source mapping.,Source or snapshot descriptive
IDA_Features,ida_delay_over45_share,float64,Proportion among this entity's visible work rows meeting delay over45. Entity with no observed works has null share.,Snapshot entity aggregate; recompute inside train folds
IDA_Features,ida_early_stage_over180_share,float64,Proportion among this entity's visible work rows meeting early stage over180. Entity with no observed works has null share.,Snapshot entity aggregate; recompute inside train folds
IDA_Features,ida_completed_share,float64,Proportion among this entity's visible work rows meeting completed. Entity with no observed works has null share.,Snapshot entity aggregate; recompute inside train folds
IDA_Features,ida_high_cost_outlier_share,object,Proportion among this entity's visible work rows meeting high cost outlier. Entity with no observed works has null share.,Snapshot entity aggregate; recompute inside train folds
IDA_Features,ida_duplicate_review_share,float64,Proportion among this entity's visible work rows meeting duplicate review. Entity with no observed works has null share.,Snapshot entity aggregate; recompute inside train folds
IDA_Features,ida_average_review_priority_score,float64,ida average review priority score,"Strictly before sanction date, observed extract only"
IDA_Features,ida_max_review_priority_score,int64,ida max review priority score,"Strictly before sanction date, observed extract only"
IDA_Features,ida_latest_sanction_date,datetime64[us],ida latest sanction date. See pipeline implementation for deterministic transformation and source mapping.,Source or snapshot descriptive
IDA_Features,ida_distinct_work_type_count,int64,ida distinct work type count; observed supplied extract only.,Snapshot descriptive
IDA_Features,ida_work_type_hhi,float64,"Sum of squared visible work-count shares across work types, in [0,1]; high concentration alone is not misconduct.",Snapshot entity aggregate
IDA_Features,ida_review_priority_score,float64,ida review priority score,"Strictly before sanction date, observed extract only"
IDA_Features,ida_review_priority_band,str,ida review priority band,"Strictly before sanction date, observed extract only"
IDA_Features,state,str,Work's state label from Works Sanctioned column D.,Source snapshot; evidence
IDA_Features,ida_district,object,"Trimmed text before the first opening parenthesis in the full IDA source label. This is a parsed label, not a district-code crosswalk.",Source-derived snapshot; recompute features in historical folds
IDA_Features,ida_authority,str,"Text inside IDA parentheses, with trailing _IDA removed. It identifies an authority, not an executing vendor.",Source-derived snapshot; recompute features in historical folds
IDA_Features,ida_visible_mp_count,int64,ida visible mp count; observed supplied extract only.,Snapshot descriptive
Calamity_Features,source_worksheet_row,int64,"Original physical worksheet row, with title/header rows counted. Used to trace evidence directly to the supplied source.","Provenance; identifier, exclude from model"
Calamity_Features,source_row_number,str,"Sequential row number supplied by the source export, excluding headers and Grand Total.",Source snapshot; evidence
Calamity_Features,calamity_type,str,Source category National Calamity or State Calamity; official declaration is not supplied.,Source snapshot; evidence
Calamity_Features,calamity_name,str,Unmodified source event name from Amount consented for Calamity column C.,Source snapshot; evidence
Calamity_Features,mp_name,str,MP name as written in the relevant source worksheet. It is retained alongside the normalized join key.,Source snapshot; evidence
Calamity_Features,consent_date,datetime64[us],Parsed source consent date from Amount consented for Calamity column E.,Source snapshot; evidence
Calamity_Features,consent_amount,int64,Source consent amount in INR from Amount consented for Calamity column F; not a payment or transfer confirmation.,Source snapshot; evidence
Calamity_Features,mp_name_key,str,"Deterministic normalized join key; names use Unicode NFKC/case folding, honorific-prefix removal and punctuation/space removal. IDA key includes state. Ambiguous MP keys stop the build.",Join identifier; exclude as continuous predictor
Calamity_Features,consent_fiscal_year,str,India financial year (April-March) containing consent date; explicit annual aggregation basis assumption.,Source-derived snapshot; recompute features in historical folds
Calamity_Features,consent_calendar_year,int32,"Calendar year containing consent date, retained separately from consent financial year.",Source-derived snapshot; recompute features in historical folds
Calamity_Features,mp_state,str,"MP state from the allocation master, joined by normalized MP name.",Source snapshot; evidence
Calamity_Features,mp_constituency,str,"MP constituency from the allocation master, joined by normalized MP name.",Source snapshot; evidence
Calamity_Features,mp_allocated_limit,float64,Recorded allocation amount in source export. One source value is missing and remains null. Period and carry-forward composition are unspecified.,Source snapshot; not annual entitlement
Calamity_Features,mp_join_status,str,Matched if the normalized consent MP name equals one unique allocation-master key; Unmatched otherwise.,Source-derived snapshot; recompute features in historical folds
Calamity_Features,rule_limit,int64,"₹10,000,000 for National Calamity and ₹2,500,000 for State Calamity; null for unknown source type. Eligibility must be verified separately.",Source-derived snapshot; recompute features in historical folds
Calamity_Features,mp_fy_type_total,int64,"Sum of known consent amounts for same normalized MP, consent financial year and calamity type; null when all amounts missing.",Source-derived snapshot; recompute features in historical folds
Calamity_Features,potential_limit_breach_flag,bool,"Consent sum grouped by MP, consent financial year and source calamity type exceeds ₹1 crore national / ₹25 lakh state. Financial year is an explicit annual-basis assumption.",Snapshot descriptive; rule proxy
Calamity_Features,state_calamity_eligibility_check,str,"Not assessed because official declaration, affected-area jurisdiction and MP chamber are not available in the three inputs.",Source-derived snapshot; recompute features in historical folds
Duplicate_Candidates,work_id_a,int64,Parsed ID of first work in this unordered candidate pair.,Source-derived snapshot; recompute features in historical folds
Duplicate_Candidates,work_id_b,int64,Parsed ID of second work in this unordered candidate pair; different from work_id_a.,Source-derived snapshot; recompute features in historical folds
Duplicate_Candidates,similarity,float64,0.65 times IDF-weighted informative-token Jaccard plus0.35 times character-trigram Dice; exact nonempty normalized text is1. Stored pairs meet >=0.84.,Source-derived snapshot; recompute features in historical folds
Duplicate_Candidates,evidence_strength,str,"Strong: similarity>=0.96, same IDA/amount/date, no number-token conflict, neither generic nor continuation. Moderate: similarity>=0.90, same IDA, no number conflict. Remaining candidates Weak.",Source-derived snapshot; recompute features in historical folds
Duplicate_Candidates,exact_description_flag,bool,Nonempty normalized descriptions are exactly equal.,Source-derived snapshot; recompute features in historical folds
Duplicate_Candidates,same_ida_flag,bool,Both work rows have the same normalized state-and-IDA key.,Source-derived snapshot; recompute features in historical folds
Duplicate_Candidates,same_mp_flag,bool,Both work rows have the same normalized MP-name key.,Source-derived snapshot; recompute features in historical folds
Duplicate_Candidates,same_amount_flag,bool,Both candidate amounts are nonmissing and numerically equal.,Source-derived snapshot; recompute features in historical folds
Duplicate_Candidates,same_sanction_date_flag,bool,Both candidate sanction dates are nonmissing and equal.,Source-derived snapshot; recompute features in historical folds
Duplicate_Candidates,number_token_conflict_flag,bool,Both descriptions contain number tokens and the number-token sets differ. Possible location/quantity difference requiring review.,Snapshot duplicate context
Duplicate_Candidates,generic_description_flag,bool,Either description contains fewer than four distinct informative tokens after declared stop-word removal.,Source-derived snapshot; recompute features in historical folds
Duplicate_Candidates,continuation_or_phase_flag,bool,Either description has a continuation/phase cue; potential legitimate staged work.,Source-derived snapshot; recompute features in historical folds
Duplicate_Candidates,state,str,Work's state label from Works Sanctioned column D.,Source snapshot; evidence
Duplicate_Candidates,description_a,str,Unmodified description of work_id_a.,Source-derived snapshot; recompute features in historical folds
Duplicate_Candidates,description_b,str,Unmodified description of work_id_b.,Source-derived snapshot; recompute features in historical folds
Duplicate_Candidates,sanction_amount_a,float64,Source sanctioned amount in INR for work_id_a.,Source-derived snapshot; recompute features in historical folds
Duplicate_Candidates,sanction_amount_b,float64,Source sanctioned amount in INR for work_id_b.,Source-derived snapshot; recompute features in historical folds
Duplicate_Candidates,sanction_date_a,datetime64[us],Source sanction date for work_id_a.,Source-derived snapshot; recompute features in historical folds
Duplicate_Candidates,sanction_date_b,datetime64[us],Source sanction date for work_id_b.,Source-derived snapshot; recompute features in historical folds
